"Código","Nombre","Régimen","Dirección","Localidad","Teléfono","Fax","Latitud","Longitud","Titularidad","CIF","Comarca","Email","Web","Servicios complementarios"
"Código: 03013959","ESCOLA PRIVADA DE MÚSICA SANTA CECILIA","Régimen: PRIVADO","Avenida ALACANT, 23","L'ALACANTÍ","965 69 10 36   ","unionmusicalagost@hotmail.com","","","","","","03698 - AGOST","","Aula música"
"Código: 03014071","ESCOLA PRIVADA DE MÚSICA VERGE DE LA PAU","Régimen: PRIVADO","Calle CANALEJAS, 8","L'ALACANTÍ","965 69 21 48   ","escola@cacvergedelapau.com","","","","","","03698 - AGOST","mailto:escola@cacvergedelapau.com","Aula música"
"Código: 03015531","SECCIÓ D'EDUCACIÓ SECUNDÀRIA DE L'IES SAN VICENTE A AGOST","Régimen: PÚBLICO","Avenida DE ELDA, 3-5","03698 - AGOST","966 90 81 30   ","966 90 81 31","38,437823","-0,641912","GENERALITAT VALENCIANA","CIF: S0300019G","L'ALACANTÍ","03015531@edu.gva.es","https://portal.edu.gva.es/03015531","Cafetería/Bar; Aula Informática; Biblioteca; Laboratorio/Taller; Salón actos; Aula música; Gimnasio; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 46000079","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA SANT VICENT FERRER","Régimen: PÚBLICO","Camino VELL D'ONTINYENT, S/N","46890 - AGULLENT","962 91 93 50   ","962 91 93 51","38,821801","-0,555249","GENERALITAT VALENCIANA","CIF: Q9655234D","LA VALL D'ALBAIDA","46000079@edu.gva.es","mailto:46000079@edu.gva.es","Comedor; Biblioteca; Laboratorio/Taller; Aula música; Gimnasio; I. Deportivas; Francés; Inglés; Adscrito al programa de banco de libros"
"Código: 46028120","CENTRE DOCENT PÚBLIC DE FORMACIÓ BÀSICA DE PERSONES ADULTES MUNICIPAL D'AGULLENT","Régimen: PÚBLICO","Calle MAJOR, 4","LA VALL D'ALBAIDA","962 90 74 72   ","epa.agullent@hotmail.com","","","","","","46890 - AGULLENT","mailto:epa.agullent@hotmail.com",""
"Código: 46022713","ESCOLA INFANTIL DE PRIMER CICLE MUNICIPAL LA JORDANA","Régimen: PÚBLICO","Calle ALFONSO I FRANCISCO PLÁ, 2","LA VALL D'ALBAIDA","962 90 78 50   ","vagullent_reg@gva.es","","","","","","46890 - AGULLENT","mailto:vagullent_reg@gva.es",""
"Código: 46020571","ESCOLA PRIVADA DE MÚSICA AMANCIO AMORÓS SIRVENT","Régimen: PRIVADO","Calle MAJOR, 4","LA VALL D'ALBAIDA","605 86 46 32   ","info@amagullent.org","","","","","","46890 - AGULLENT","mailto:info@amagullent.org","Cafetería/Bar; Aula música"
"Código: 46001515","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA SANT JOSEP DE CALASSANÇ","Régimen: PÚBLICO","Calle MESTRE CARLES SALVADOR, 1","46812 - AIELO DE MALFERIT","962 91 93 55   ","962 91 93 56","38,877186","-0,588212","GENERALITAT VALENCIANA","CIF: Q9655235A","LA VALL D'ALBAIDA","46001515@edu.gva.es","http://mestreacasa.gva.es/web/4600151500","Comedor; Aula Informática; Biblioteca; Laboratorio/Taller; Pelota; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 46027231","CENTRE DOCENT PÚBLIC DE FORMACIÓ BÀSICA DE PERSONES ADULTES MUNICIPAL ENRIC VALOR","Régimen: PÚBLICO","Avenida SANTÍSSIM CRIST, 1","LA VALL D'ALBAIDA","962 36 30 10   ","aielo.cultura@cv.gva.es","","","","","","46812 - AIELO DE MALFERIT","",""
"Código: 46018606","ESCOLA PÚBLICA DE MÚSICA MUNICIPAL","Régimen: PÚBLICO","Avenida SANTÍSSIM CRIST, 5","LA VALL D'ALBAIDA","962 36 07 20   ","aielo.adl@cv.gva.es","","","","","","46812 - AIELO DE MALFERIT","","Aula música"
"Código: 46022348","ESCOLA INFANTIL DE PRIMER CICLE MUNICIPAL LA SERRATELLA","Régimen: PÚBLICO","Calle BOCAIRENT, S/N","LA VALL D'ALBAIDA","962 36 07 07   ","aielo.escolainfantil@cv.gva.es","","","","","","46812 - AIELO DE MALFERIT","",""
"Código: 46022099","INSTITUT D'EDUCACIÓ SECUNDÀRIA PORÇONS","Régimen: PÚBLICO","Calle JULIÁN JUAN MOMPÓ, 3","46812 - AIELO DE MALFERIT","962 91 95 95   ","962 91 95 96","38,881554","-0,595665","GENERALITAT VALENCIANA","CIF: S9600018G","LA VALL D'ALBAIDA","46022099@edu.gva.es","mailto:46022099@edu.gva.es","Cafetería/Bar; Aula Informática; Biblioteca; Laboratorio/Taller; Salón actos; Aula música; Pelota; Gimnasio; I. Deportivas; Francés; Inglés; FONDOS SOCIALES EUROPEOS; Adscrito al programa de banco de libros"
"Código: 03000096","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA MIRADOR D'AIGÜES","Régimen: PÚBLICO","Avenida DEL DOCTOR SAPENA, S/N","03569 - AIGÜES","966 90 81 40   ","966 90 81 41","38,500573","-0,365124","GENERALITAT VALENCIANA","CIF: Q5355126C","L'ALACANTÍ","03000096@edu.gva.es","mailto:03000096@edu.gva.es","Comedor; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03015324","CENTRE D'EDUCACIÓ ESPECIAL LO MORANT","Régimen: PÚBLICO","Calle PABLO NERUDA, 7","03010 - ALACANT","965 93 70 20   ","965 93 70 21","38,371262","-0,49255","GENERALITAT VALENCIANA","CIF: Q0300526A","L'ALACANTÍ","03015324@edu.gva.es","mailto:03015324@edu.gva.es","Transporte; Comedor; I. Deportivas; Adscrito al programa de banco de libros"
"Código: 03010570","CENTRE D'EDUCACIÓ ESPECIAL SANTO ÁNGEL DE LA GUARDA","Régimen: PÚBLICO","Travesía VIRGEN DEL PUIG, 17","03009 - ALACANT","965 93 70 25   ","965 93 70 26","38,369218","-0,499899","GENERALITAT VALENCIANA","CIF: Q5355042B","L'ALACANTÍ","03010570@edu.gva.es","http://mestreacasa.gva.es/web/0301057000","Transporte; Comedor; I. Deportivas; Adscrito al programa de banco de libros"
"Código: 03001544","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA AUSIÀS MARCH","Régimen: PÚBLICO","Calle CERES, 24","03009 - ALACANT","965 91 90 30   ","965 91 90 31","38,360049","-0,494025","GENERALITAT VALENCIANA","CIF: Q5355124H","L'ALACANTÍ","03001544@edu.gva.es","http://mestreacasa.gva.es/web/0300154400","Comedor; Biblioteca; Laboratorio/Taller; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03009683","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA AZORÍN","Régimen: PÚBLICO","Calle BIOLOGO KONRAD LORENZ, 5","03015 - ALACANT","965 93 25 10   ","965 93 25 11","38,363792","-0,470628","GENERALITAT VALENCIANA","CIF: Q5355116D","L'ALACANTÍ","03009683@edu.gva.es","mailto:03009683@edu.gva.es","Comedor; Aula Informática; Biblioteca; Salón actos; Aula música; Gimnasio; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03000734","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA BENALÚA","Régimen: PÚBLICO","Calle DOCTOR JUST, 70","03007 - ALACANT","965 91 90 40   ","965 91 90 41","38,338719","-0,497166","GENERALITAT VALENCIANA","CIF: Q5355053I","L'ALACANTÍ","03000734@edu.gva.es","mailto:03000734@edu.gva.es","Transporte; Comedor; Aula Informática; Biblioteca; Laboratorio/Taller; Gimnasio; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03001601","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA CAMPOAMOR","Régimen: PÚBLICO","Paseo DE CAMPOAMOR, 1","03010 - ALACANT","965 91 97 30   ","965 91 97 31","38,355123","-0,486806","GENERALITAT VALENCIANA","CIF: Q5355549F","L'ALACANTÍ","03001601@edu.gva.es","http://mestreacasa.gva.es/web/0300160100","Comedor; Biblioteca; Laboratorio/Taller; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03001571","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA CARLOS ARNICHES","Régimen: PÚBLICO","Calle ALONSO CANO, 19","03014 - ALACANT","965 91 97 40   ","965 91 97 41","38,364653","-0,480233","GENERALITAT VALENCIANA","CIF: Q5355123J","L'ALACANTÍ","03001571@edu.gva.es","http://mestreacasa.gva.es/web/0300157100","Comedor; Biblioteca; Laboratorio/Taller; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03015661","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA COSTA BLANCA","Régimen: PÚBLICO","Avenida DE LAS NACIONES, S/N","03540 - ALACANT","965 91 97 50   ","965 91 97 51","38,371102","-0,420205","GENERALITAT VALENCIANA","CIF: Q0300610C","L'ALACANTÍ","03015661@edu.gva.es","http://www.cpcostablanca.es/","Comedor; Aula Informática; Biblioteca; Aula música; I. Deportivas; Gimnasio; Inglés; Adscrito al programa de banco de libros"
"Código: 03015351","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA EL FARO","Régimen: PÚBLICO","Calle SARGO, 4","03540 - ALACANT","965 93 73 90   ","965 93 73 91","38,360144","-0,414249","GENERALITAT VALENCIANA","CIF: Q0300527I","L'ALACANTÍ","03015351@edu.gva.es","https://portal.edu.gva.es/03015351","Comedor; Biblioteca; Laboratorio/Taller; Aula música; Pelota; Gimnasio; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03011161","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA EL PALMERAL","Régimen: PÚBLICO","Calle PORTET DE MORAIRA, 2","03008 - ALACANT","965 91 97 60   ","965 91 97 61","38,331137","-0,512216","GENERALITAT VALENCIANA","CIF: Q5355080B","L'ALACANTÍ","03011161@edu.gva.es","mailto:03011161@edu.gva.es","Transporte; Comedor; Aula Informática; Biblioteca; Laboratorio/Taller; Gimnasio; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03009749","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA EL TOSSAL","Régimen: PÚBLICO","Calle JUANITO EL SANTERO, S/N","03005 - ALACANT","965 91 97 70   ","965 91 97 71","38,352957","-0,496444","GENERALITAT VALENCIANA","CIF: Q5355032C","L'ALACANTÍ","03009749@edu.gva.es","mailto:03009749@edu.gva.es","Transporte; Comedor; Aula Informática; Biblioteca; Laboratorio/Taller; Aula música; I. Deportivas; Francés; Inglés; Adscrito al programa de banco de libros"
"Código: 03010193","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA EMILIO VARELA","Régimen: PÚBLICO","Calle DEL CLOT, 10","03011 - ALACANT","965 91 97 80   ","965 91 97 81","38,376999","-0,495533","GENERALITAT VALENCIANA","CIF: Q5355581I","L'ALACANTÍ","03010193@edu.gva.es","http://mestreacasa.gva.es/web/0301019300","Comedor; Biblioteca; Salón actos; Aula música; Huerto; Gimnasio; I. Deportivas; Inglés; Adscrito al programa de banco de libros; Aplica el Portfolio Europeo de las Lenguas"
"Código: 03011987","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA ENRIC VALOR","Régimen: PÚBLICO","Calle SANT LLORENÇ, 33","03007 - ALACANT","965 91 97 90   ","965 91 97 91","38,340444","-0,515918","GENERALITAT VALENCIANA","CIF: Q5355111E","L'ALACANTÍ","03011987@edu.gva.es","mailto:03011987@edu.gva.es","Transporte; Comedor; Aula Informática; Biblioteca; Aula música; Gimnasio; I. Deportivas; Francés; Inglés; Adscrito al programa de banco de libros"
"Código: 03000692","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA EUSEBIO SEMPERE","Régimen: PÚBLICO","Calle ISIDORO DE SEVILLA, 2","03009 - ALACANT","965 93 62 10   ","965 93 62 11","38,370572","-0,503569","GENERALITAT VALENCIANA","CIF: Q5355577G","L'ALACANTÍ","03000692@edu.gva.es","http://mestreacasa.gva.es/web/0300069200","Comedor; Biblioteca; Laboratorio/Taller; I. Deportivas; Francés; Inglés; Adscrito al programa de banco de libros"
"Código: 03001581","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA FLORIDA","Régimen: PÚBLICO","Calle PIANISTA GONZALO SORIANO, 3","03007 - ALACANT","965 93 62 20   ","965 93 62 21","38,340007","-0,508267","GENERALITAT VALENCIANA","CIF: Q5355054G","L'ALACANTÍ","03001581@edu.gva.es","http://mestreacasa.gva.es/web/0300158100","Transporte; Comedor; Aula Informática; Biblioteca; Laboratorio/Taller; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03010201","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA GABRIEL MIRÓ","Régimen: PÚBLICO","Calle PROFESOR DAVID NOGUERA, 2","03006 - ALACANT","965 93 62 30   ","965 93 62 31","38,346701","-0,506364","GENERALITAT VALENCIANA","CIF: Q5355575A","L'ALACANTÍ","03010201@edu.gva.es","mailto:03010201@edu.gva.es","Comedor; Biblioteca; Laboratorio/Taller; Aula música; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03011859","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA GASTÓN CASTELLÓ","Régimen: PÚBLICO","Calle CLAUDIO COELLO, S/N","03010 - ALACANT","965 93 62 40   ","965 93 62 41","38,363851","-0,491016","GENERALITAT VALENCIANA","CIF: Q5355574D","L'ALACANTÍ","03011859@edu.gva.es","http://mestreacasa.gva.es/web/0301185900","Comedor; Biblioteca; I. Deportivas; Francés; Inglés; Adscrito al programa de banco de libros"
"Código: 03015191","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA GLORIA FUERTES","Régimen: PÚBLICO","Calle CUARZO, 19-21","03014 - ALACANT","965 93 62 50   ","965 93 62 51","38,376923","-0,487003","GENERALITAT VALENCIANA","CIF: Q0300518H","L'ALACANTÍ","03015191@edu.gva.es","http://mestreacasa.gva.es/web/0301519100","Transporte; Comedor; Aula Informática; Biblioteca; Laboratorio/Taller; Salón actos; Aula música; Gimnasio; I. Deportivas; Francés; Inglés; Adscrito al programa de banco de libros"
"Código: 03016183","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA ISLA DE TABARCA","Régimen: PÚBLICO","Calle BENIFALLIM, 4","03014 - ALACANT","965 93 62 60   ","965 93 62 61","38,365601","-0,481848","GENERALITAT VALENCIANA","CIF: Q0300567E","L'ALACANTÍ","03016183@edu.gva.es","http://mestreacasa.gva.es/web/0301618300","Comedor; Biblioteca; Aula música; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03001568","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA JOAQUÍN SOROLLA","Régimen: PÚBLICO","Calle ALBACETE, S/N","03005 - ALACANT","965 93 62 70   ","965 93 62 71","38,350785","-0,497485","GENERALITAT VALENCIANA","CIF: Q5355115F","L'ALACANTÍ","03001568@edu.gva.es","mailto:03001568@edu.gva.es","Transporte; Comedor; Aula Informática; Biblioteca; Laboratorio/Taller; Salón actos; Aula música; Gimnasio; I. Deportivas; Francés; Inglés; Adscrito al programa de banco de libros; Aplica el Portfolio Europeo de las Lenguas"
"Código: 03010181","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA JOSÉ CARLOS AGUILERA","Régimen: PÚBLICO","Calle MÉDICO PEDRO HERRERO, S/N","03006 - ALACANT","965 93 62 80   ","965 93 62 81","38,343752","-0,500784","GENERALITAT VALENCIANA","CIF: Q5355560C","L'ALACANTÍ","03010181@edu.gva.es","http://mestreacasa.gva.es/web/0301018100","Comedor; Aula Informática; Biblioteca; Laboratorio/Taller; Aula música; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03011045","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA LA ALBUFERETA","Régimen: PÚBLICO","Calle ZEUS, 3","03016 - ALACANT","965 93 62 90   ","965 93 62 91","38,364629","-0,436161","GENERALITAT VALENCIANA","CIF: Q5355015H","L'ALACANTÍ","03011045@edu.gva.es","http://mestreacasa.gva.es/web/0301104500","Comedor; Aula Informática; Biblioteca; Laboratorio/Taller; Aula música; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03019007","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA LA ALMADRABA","Régimen: PÚBLICO","Calle DEPORTISTA JOSÉ BAÑÓN, 4","03540 - ALACANT","965 93 25 25   ","965 93 25 26","38,365374","-0,421202","GENERALITAT VALENCIANA","CIF: S0300109F","L'ALACANTÍ","03019007@edu.gva.es","mailto:03019007@edu.gva.es","Comedor; Adscrito al programa de banco de libros"
"Código: 03002238","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA LA CONDOMINA","Régimen: PÚBLICO","Avenida PAÍSES ESCANDINAVOS (PLAYA SAN JUAN), 17","03540 - ALACANT","965 93 63 00   ","965 93 63 01","38,372255","-0,418046","GENERALITAT VALENCIANA","CIF: Q5355557I","L'ALACANTÍ","03002238@edu.gva.es","mailto:03002238@edu.gva.es","Transporte; Comedor; Aula Informática; Biblioteca; Laboratorio/Taller; Salón actos; Aula música; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03001623","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA LA PAZ","Régimen: PÚBLICO","Calle ABOGADO PÉREZ MIRETE, S/N","03011 - ALACANT","965 93 63 20   ","965 93 63 21","38,373308","-0,4922","GENERALITAT VALENCIANA","CIF: Q5355552J","L'ALACANTÍ","03001623@edu.gva.es","http://mestreacasa.gva.es/web/0300162300","Comedor; Biblioteca; Laboratorio/Taller; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03009701","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA LUCENTUM","Régimen: PÚBLICO","Calle ORTEGA Y GASSET, 21-23","03011 - ALACANT","965 93 63 10   ","965 93 63 11","38,375581","-0,494044","GENERALITAT VALENCIANA","CIF: Q5355555C","L'ALACANTÍ","03009701@edu.gva.es","mailto:03009701@edu.gva.es","Comedor; Biblioteca; Laboratorio/Taller; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03000709","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA MANJÓN-CERVANTES","Régimen: PÚBLICO","Calle MONTERO RÍOS, 2","03012 - ALACANT","965 93 25 15   ","965 93 25 16","38,35745","-0,482196","GENERALITAT VALENCIANA","CIF: Q5355010I","L'ALACANTÍ","03000709@edu.gva.es","http://mestreacasa.gva.es/web/0300070900","Comedor; Aula Informática; Biblioteca; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03017485","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA MEDITERRÁNEO","Régimen: PÚBLICO","Calle CATEDRÁTICO ABELARDO RIGUAL, 4","03540 - ALACANT","965 93 73 80   ","965 93 73 81","38,364907","-0,422288","GENERALITAT VALENCIANA","CIF: Q0300684H","L'ALACANTÍ","03017485@edu.gva.es","http://mestreacasa.gva.es/web/0301748500","Comedor; Aula Informática; Biblioteca; Aula música; Huerto; Pelota; I. Deportivas; Gimnasio; Inglés; Adscrito al programa de banco de libros"
"Código: 03011057","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA MONTE BENACANTIL","Régimen: PÚBLICO","Calle CRONISTA VICENTE MARTÍNEZ MORELLA, 16","03015 - ALACANT","965 91 96 90   ","965 91 96 91","38,373525","-0,478485","GENERALITAT VALENCIANA","CIF: Q5355554F","L'ALACANTÍ","03011057@edu.gva.es","http://mestreacasa.gva.es/web/0301105700","Comedor; Aula Informática; Biblioteca; Laboratorio/Taller; Aula música; Gimnasio; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03009971","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA MORA PUCHOL","Régimen: PÚBLICO","Plaza FARMACÉUTICO LUIS GISBERT, 4","03008 - ALACANT","965 93 25 00   ","965 93 25 01","38,338198","-0,504609","GENERALITAT VALENCIANA","CIF: Q5355553H","L'ALACANTÍ","03009971@edu.gva.es","mailto:03009971@edu.gva.es","Comedor; Aula Informática; Biblioteca; Laboratorio/Taller; Aula música; I. Deportivas; Gimnasio; Inglés; Adscrito al programa de banco de libros"
"Código: 03001854","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA ÓSCAR ESPLÁ","Régimen: PÚBLICO","Plaza DE LA LIBERTAD, 1","03010 - ALACANT","965 93 71 05   ","965 93 71 06","38,365862","-0,493805","GENERALITAT VALENCIANA","CIF: Q5355091I","L'ALACANTÍ","03001854@edu.gva.es","http://mestreacasa.gva.es/web/0300185400","Comedor; Biblioteca; Laboratorio/Taller; I. Deportivas; Francés; Inglés; Adscrito al programa de banco de libros"
"Código: 03001507","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA PEDRO DUQUE","Régimen: PÚBLICO","Calle ARTISTA FOGUERER, 2","03015 - ALACANT","965 91 96 80   ","965 91 96 81","38,368873","-0,469966","GENERALITAT VALENCIANA","CIF: Q5355559E","L'ALACANTÍ","03001507@edu.gva.es","http://mestreacasa.gva.es/web/0300150700","Comedor; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03001647","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA PRÁCTICAS-LA ANEJA","Régimen: PÚBLICO","Calle MONTE TOSSAL, S/N","03004 - ALACANT","965 93 73 60   ","965 93 73 61","38,351997","-0,493242","GENERALITAT VALENCIANA","CIF: Q5355092G","L'ALACANTÍ","03001647@edu.gva.es","mailto:03001647@edu.gva.es","Transporte; Comedor; Aula Informática; Biblioteca; Aula de idiomas; Laboratorio/Taller; I. Deportivas; Francés; Inglés; Adscrito al programa de banco de libros"
"Código: 03018623","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA RABASSA","Régimen: PÚBLICO","Calle TUBERÍA, 93","03009 - ALACANT","965 93 73 40   ","965 93 73 41","38,365588","-0,501726","GENERALITAT VALENCIANA","CIF: Q0300715J","L'ALACANTÍ","03018623@edu.gva.es","http://mestreacasa.gva.es/web/0301862300","Transporte; Comedor; Adscrito al programa de banco de libros"
"Código: 03002101","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA RAFAEL ALTAMIRA","Régimen: PÚBLICO","Calle TOMÁS AZNAR DOMENECH, S/N","03007 - ALACANT","965 93 63 30   ","965 93 63 31","38,340865","-0,514512","GENERALITAT VALENCIANA","CIF: Q5355548H","L'ALACANTÍ","03002101@edu.gva.es","mailto:03002101@edu.gva.es","Transporte; Comedor; Biblioteca; Laboratorio/Taller; Gimnasio; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03011173","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA RAMON LLULL","Régimen: PÚBLICO","Calle SANTA FELICITAS, 8","03005 - ALACANT","965 93 63 40   ","965 93 63 41","38,349383","-0,494176","GENERALITAT VALENCIANA","CIF: Q5355102D","L'ALACANTÍ","03011173@edu.gva.es","http://mestreacasa.gva.es/web/0301117300","Comedor; Biblioteca; Aula música; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
